,company,task,info
267,네이버(주),네이버 자금 및 자산운용,"

 네이버 및 계열법인의 입출금 및 유동성 관리
 자금계획 수립 및 보유자산의 포트폴리오 관리

 5년~7년 상장법인 자금팀 경력 (대기업, IT 기업, 글로벌 기업의 자금 업무 경험자)이 있으신 분
 기본적인 자금관리 업무, 중장기 현금흐름 계획 수립 경험자
 자산운용 및 자금조달 실무 경험자
 국내외 금융시장 분석 및 리스크 관리 및 보고 경험자

 네이버 서비스 및 국내외 ICT 산업에 대한 기본적인 이해와 관심이 있으신 분

"
268,리디(주),[리디 주식회사] BL 소설 MD,"[RIDI 기업소개]

Rich Imagination & Deep Insight

리디 주식회사는 2009년 리디북스로 서비스를 시작하여, 전자책, 웹툰웹소설, 애니메이션, 아티클뉴스 등 다양한 온라인 콘텐츠 서비스를 제공하는 커넥티드 콘텐츠 기업으로, 콘텐츠 경험의 연결을 만듭니다.

기업소개 페이지 :https://www.ridicorp.com
개발 블로그 : https://www.ridicorp.com/blog

[RIDI CODE]

1. 의사결정
1.1 가장 먼저 그리고 마지막엔 고객 관점에서 바라본다
1.2 장기적인 관점으로 생각한다
1.3 개인이나 팀의 목표보다 전사의 목표를 우선시한다
1.4 가장 잘 아는 사람이 결정하고 책임은 조직장이 진다
1.5 데이터와 직관을 동시에 활용한다

2. 소통
2.1 의도와 맥락을 중심으로 이야기한다
2.2 표준화된 용어, 정확한 숫자, 통일된 날짜 표기법을 사용한다
2.3 찜찜한 상황에선 먼저 이야기를 꺼낸다
2.4 불편함을 감수하더라도 솔직하게 이야기 한다
2.5 소통 상대에게 존중하는 자세를 유지한다

3. 업무자세
3.1 의도를 명확히 정하고 일을 한다
3.2 도전적인 목표를 설정한다
3.3 탁월함을 위해 집요하게 파고든다
3.4 결정된 사항은 빠르게 실행한다
3.5 체력을 적극적으로 관리한다

[RIDI PRODUCTS]

리디북스 (ridibooks.com)
: 국내 최초 및 전자책 서점 1위 서비스로, 폭넓은 분야의 풍성한 콘텐츠를 제공합니다.
리디셀렉트 (select.ridibooks.com)
: 화제의 베스트셀러 및 엄선된 아티클을 무제한 감상할 수 있는 월정액 지식 콘텐츠 서비스입니다.
리디페이퍼 (paper.ridibooks.com)
: 리디에서 직접 개발한 최적의 휴대성과 독서 경험을 제공하는 전자책 단말기입니다.
라프텔 (laftel.net)
: 애니메이션의 합법적 소비를 선도하는 국내 최대 애니메이션 스트리밍 서비스입니다.
만타 (manta.net)
: 북미 지역에서 시작해 전 세계로! 취향에 맞는 K웹툰을 무제한으로 즐길 수 있는 글로벌 웹툰 구독 서비스입니다.
아웃스탠딩 (outstanding.kr)
: 심도 있는 분석을 쉽고 재미있게 풀어 쓴 IT 전문 뉴스 서비스입니다.


리디북스의 웹소설그룹은 로맨스, BL, 판타지 등 다양한 소설을 독자에게 서비스하는 팀으로 모인 그룹입니다. 웹소설 트렌드를 데이터로 분석하고 이해하며, 독자가 원하는 작품을 파트너와 함께 발굴해 나갑니다.
웹소설그룹 내 TF를 통해서 활발한 협업을 권장하고 있으며, 그룹 내 스터디 지원으로 담당 팀의 카테고리 외에도 웹소설시장 전반을 이해하며 성장해 나갈 수 있습니다.

[BL소설팀]
BL소설 시장 점유율 1위, 웹소설그룹 BL소설팀은 매년 폭발적인 성장을 거듭하고 있습니다. 각자의 전문 분야에서 파트너와 함께 새로운 BL소설을 가장 먼저 선보이고, 새로운 전략을 구성하여 BL소설 시장을 선도해 나갑니다.


BL소설 MD는 작품에 대한 깊은 이해를 바탕으로 고객의 움직임을 직관과 감각으로 분석합니다. 데이터 분석을 통한 프로모션 전략을 수립하고, 다양한 이해관계를 가진 파트너와 협상하고 함께 성장해나갑니다.

 플랫폼 빅데이터 분석 및 이해
 BL소설 콘텐츠 검토 및 전략 수립
 파트너사와의 협업 및 협상
 프로모션 기획 및 운영

 콘텐츠 플랫폼 또는 BL소설 유관업계 경험 2년 이상
 IP산업 전반에 대한 관심과 이해도
 다양한 이해관계자와의 커뮤니케이션 경험 보유
 IT/커머스/콘텐츠 전반에 대한 풍부한 인사이트
 MS 오피스 사용 숙련자

 콘텐츠 플랫폼에 대한 높은 이해도
 웹소설 업계 네트워크 보유
 BL소설 열혈 독자

리더스가 일에만 집중할 수 있도록, 또 더 잘 일할 수 있도록 최선의 환경을 지원합니다.

 일에 온전히 집중할 수 있도록 안정적인 환경을 지원합니다.
 안정적인 주거생활을 위한 주택자금(최대 1억) 대출이자지원
 업무 / 야근 시 택시비 지원

 업무 외의 문제로 일을 방해받지 않습니다.
 최고 사양의 업무 장비 및 유료 소프트웨어 사용 지원
 수평적인 호칭 체계(님 호칭) 및 자율 복장
 선릉역 1분 거리의 뛰어난 접근성

 함께 일할 때 시너지가 날 수 있는 인재 추천을 적극 지원합니다.
 추천 시 피추천인 1인 당 스타벅스 상품권(카드) 30,000원 지급
 추천 인재 입사시 최대 500만원 채용 인센티브
 추천 인재와의 식사 비용 지원

 개인의 꾸준한 배움과 성장이 리디의 성장으로 이어집니다.
 리디 서비스 사용료 일부 지원(리디북스 / 리디셀렉트 / 아웃스탠딩 / 라프텔 / 리디페이퍼)
 자기계발 지원비(사외수강 / AWS 학습비 등)

 건강한 몸과 마음이 건강한 서비스를 만듭니다.
 매일 색다른 샐러드 조식 및 제철 손질 과일 제공
 건강을 위한 운동비 지원
 사고나 질병에 대비한 단체 상해 보험 제공
 오메가3/루테인 등 각종 영양제, 고급 견과류 상시 제공
 불필요한 설탕 섭취 없는 캡슐커피, 탄산수, 각종 차 제공
 질병에 대한 예방 접종과 치아 건강을 위한 스케일링 지원(연 1회)

 리더스의 든든한 지원군인 가족을 리디가 지원합니다.
 리디 서비스 사용료 일부 지원(리디북스 / 리디셀렉트 / 아웃스탠딩 / 라프텔 / 리디페이퍼)
 근속 3년마다 리프레쉬 휴가(2주) 및 5성급 호텔 숙박권 제공
 경조사 발생 시 경조사비 및 경조휴가, 화환 / 과일바구니 / 상조용품 지원
 명절 선물로 상품권 지급"
269,(주)스마일게이트홀딩스, 노무 운영 담당,"스마일게이트는 전세계 동시 접속자 수 800만 명 이상을 자랑하는 크로스파이어를 개발한 글로벌 게임회사입니다. 중국과 베트남, 북남미, 유럽 등 전세계 80개 국에서 크로스파이어를 서비스하고 있습니다.

스마일게이트는 크로스파이어를 통해 배운 축적된 게임 개발 역량과 서비스 노하우를 기반으로 FPS, MMORPG, 대전액션을 아우르는 다양한 장르의 온라인게임을 개발하고 있습니다.

스마일게이트는 식지 않는 열정과 끈기, 노력을 통해 쉬지 않고 도전하고 있습니다. 더 많은 유저와 즐거움을 나누기 위한 게임 및 문화 콘텐츠를 제공하기 위해 비즈니스 파트너와 함께 성장해 나가겠습니다.

 현장 노무 점검 및 지원
 취업규칙 등 제도정비
 노무역량 교육 실무

자격요건
 중소기업 이상 법인 노무관리 경력 보유 (300인이상 대기업 or 게임/IT 업계 선호)
 인사/노무 6년이상 경험자

필요역량
 노동관계법 이해에 기초한 직무 전문성
 집단적 노사관계 바탕 의사소통능력
 논리적 사고기반의 기획력과 문제해결능력

 게임업계/IT업계 경험보유자
 공인노무사
 노동법 대학원 수료자

스마일게이트는 구성원을 위한 다양한 복지 서비스 및 근로환경을 제공하고 있습니다. :)

 유연근무제도
 선택적 복리후생비 지급
 출근 셔틀버스 운영
 의료실비 보험 / 종합건강검진 지원
 생활자금대출 / 경조사 지원
 사내 동호회 활동 지원
 개발자 컨퍼런스 / 사내 교육 및 특강
 게임공간 라운지
 사내 도서관
 운동 공간 (헬스, 골프, 탁구)
 샤워시설, 휴게라운지, 힐링룸
 장기근속 포상 / 휴양시설 지원
 카페테리아 / 사내 식당
 사내 어린이집
 부서 워크숍 지원
 명절 선물 지급"
270,넥스트플로어(주),평가/보상 담당자 모집,"

 평가/보상 제도 기획 및 운영
 평가 프로세스 고도화
 평가/보상 시스템 관리 및 개선
 인센티브 스킴 및 연봉인상안 설계

 평가/보상 업무 경력 5년 이상이신 분
 평소 수평적 조직에서의 성과중심 평가/보상에 관심이 있으신 분
 IT업계와 HR 분야에 대한 이해도가 있으신 분
 대/내외적으로 원활한 커뮤니케이션이 가능하신 분

 게임업계 HR 경력자
 외국어(영어) 사용이 가능하신 분
 꼼꼼하고 신속하게 업무를 운영하실 수 있는 분

"
271,(주)스마일게이트홀딩스, 노경기획 담당(junior),"스마일게이트는 전세계 동시 접속자 수 800만 명 이상을 자랑하는 크로스파이어를 개발한 글로벌 게임회사입니다. 중국과 베트남, 북남미, 유럽 등 전세계 80개 국에서 크로스파이어를 서비스하고 있습니다.

스마일게이트는 크로스파이어를 통해 배운 축적된 게임 개발 역량과 서비스 노하우를 기반으로 FPS, MMORPG, 대전액션을 아우르는 다양한 장르의 온라인게임을 개발하고 있습니다.

스마일게이트는 식지 않는 열정과 끈기, 노력을 통해 쉬지 않고 도전하고 있습니다. 더 많은 유저와 즐거움을 나누기 위한 게임 및 문화 콘텐츠를 제공하기 위해 비즈니스 파트너와 함께 성장해 나가겠습니다.

 단체교섭 수행
 노무이슈 대응
 노무행정 지원

자격요건
 중소기업 이상 법인 노무관리 경력 보유 (300인이상 대기업 or 게임/IT 업계 선호)
 인사/노무 3년이상 경험자

필요역량
 노동관계법 이해에 기초한 직무 전문성
 집단적 노사관계 바탕 의사소통능력
 논리적 사고기반의 기획력과 문제해결능력

 게임업계/IT업계 경험보유자
 공인노무사
 노동법 대학원 수료자

스마일게이트는 구성원을 위한 다양한 복지 서비스 및 근로환경을 제공하고 있습니다. :)

 유연근무제도
 선택적 복리후생비 지급
 출근 셔틀버스 운영
 의료실비 보험 / 종합건강검진 지원
 생활자금대출 / 경조사 지원
 사내 동호회 활동 지원
 개발자 컨퍼런스 / 사내 교육 및 특강
 게임공간 라운지
 사내 도서관
 운동 공간 (헬스, 골프, 탁구)
 샤워시설, 휴게라운지, 힐링룸
 장기근속 포상 / 휴양시설 지원
 카페테리아 / 사내 식당
 사내 어린이집
 부서 워크숍 지원
 명절 선물 지급"
272,(주)디리아,SI,"

 금융공동망, 오픈뱅킹, 펌뱅킹 업무 개발
 방카슈랑스, 대학등록금, 국고 등 제휴업무 개발

 신입/경력 전체
 뛰어난 협업능력과 커뮤니케이션 스킬이 있으신 분
 병역필 또는 면제자로서 해외여행에 결격사유가 없는 분
 Java 응용프로그램 개발 가능하신 분
 보훈대상자(관련법에 의거)

 금융업무에 대한 이해도가 높은 분 우대
 IT관련 학과 전공 혹은 수학과/통계학과 전공하신 분 우대
 석박사학위 소지, IT관련 자격증 소지, 외국어 능통하신 분 우대

"
273,(주)골프존,모바일플랫폼 UX 전략기획,"골프존은 골프, IT 그리고 문화가 결합된 새로운 공간 & 상품/서비스를 창출함으로써 새로움/즐거움/유익함을 제공하는 New Culture를 창조하고 있습니다.

골프존은 시뮬레이터 제조기업이 아닌, Golfer's Lifetime Partner로서골프를 알아가고, 즐기고, 골프를 통해 소통하는 모든 과정을 함께하며 통합 서비스를 제공하는 토털골프문화기업으로 거듭나고 있습니다.

 골프존 앱 통합 UX/UI 기획 업무
 골프존 앱 서비스 기획, 정책수립
 각 사업/현업 부서 및 IT 조직과 연계한 프로젝트 실행/추진 및 업데이트, 개발 일정 관리
(스크린골프 및 신규 서비스 등 프론트 전반에 대한 UX/UI 가이드 수립)
 사용자 데이터 기반의 UX 개선 업무 진행
 파트너사, 유관부서 커뮤니케이션

 모바일 웹/앱 플랫폼 서비스 기획 최소 5년 이상 경력자
 신규 플랫폼 구축 프로젝트 및 운영 경험 (PM등 Leadership 경험 선호)
 사용자 관찰/데이터 분석을 통한 서비스 개선 기획/보고서 작성 가능한 분

 프로젝트 런칭 및 라이브 서비스 경험 보유
 개발 직군과 원활한 소통을 위한 IT환경 및 개발언어에 대한 이해 필요
 골프 경험 및 관심(스크린, 필드), 골퍼에 대한 이해

 Refresh Care
 Play shop
매년 일상에서 벗어나 재충전할 수 있는 기회를 제공합니다. 임직원 스스로 해외 및 국내 여행지를 정하여 원하는 활동을 할 수 있도록 회사가 적극 지원합니다.
 GWork Breaks
장기근속에 따른 공로를 인정하여 최장 1개월간 업무로부터 완전히 해방시켜 충분한 휴식을 취할 수 있도록 합니다.
 휴양시설 지원
행복한 여가생활을 지원하고자 리조트 등 다양한 휴양시설을 회원가로 제공합니다.
 Refresh Day
매년 업무에서 잠시 벗어나 휴식을 취하고 회식 자리가 아닌 곳에서 팀 단합의 기회를 제공합니다.
 GFamily Day
업무에서 벗어나 한달에 하루는 가족과 함께 여유있는 시간을 보낼 수 있도록 근무시간을 단축하여 주고 있습니다.
 캠핑장 지원
즐거운 여가생활을 지원하고자 캠핑/글램핑/카라반 이용을 지원합니다.

 Culture Care
 가족초청행사
임직원 가족을 초청하여 그룹 문화를 공유하고 다양한 체험 활동을 통해 가족과 함께하는 즐거운 시간을 제공합니다.
 동호회 지원
임직원 간 동호회 활동을 지원하여 건전하고 즐거운 회사 생활을 할 수 있도록 문화를 조성합니다.
 GBattle
임직원 간 친목 도모와 진정한 골프 문화의 장을 마련하고자 사내 스크린 골프 대회를 개최하고 있습니다.
 GBooks
사내 도서관 운영을 통해 독서 활동을 장려합니다. 임직원이 신청한 희망 도서를 비치하고, 자유롭게 대여 가능합니다.

 Health Care
 종합건강검진
임직원 및 가족의 종합건강검진 지원을 통해 직원의 건강뿐 아니라 가정의 건강까지도 함께 관리하고자 힘쓰고 있습니다.
 단체상해보험 가입
사고나 질병으로 인해 발생할 수 있는 경제적 어려움을 줄이고 해당 임직원 및 가족에게 생활 안정 수단을 제공하기 위해 보험 가입을 지원합니다.
 질병 예방접종
독감 및 자궁경부암 예방접종 등을 통해 각종 질병으로부터 직원의 건강을 보호합니다.
 GApproach / GFitness
임직원 건강증진을 위해 관련 시설 및 운동기구를 제공하고 골프레슨, PT, 요가 프로그램을 운영합니다.

 Family Care
 직장 어린이집
임직원이 아이를 안심하고 맡길 수 있도록 직장 어린이집 운영을 통해 일과 가정의 양립이 조화롭게 병행될 수 있도록 지원합니다.
 장학금 지원
자녀에게 장학금을 지원함으로써 자녀 양육 및 교육에 대한 재정적 부담을 경감시키고 출산을 장려합니다.
 태아보험 가입
자녀 출산을 앞둔 직원들에게 태아보험 가입을 지원하여 심리적, 재정적으로 보탬이 되도록 합니다,
 경조사 지원
직원의 경사를 함께 축하하고, 조사의 슬픔을 나누기 위해 경조금 및 경조휴가, 화환, 장례용품 등을 지원합니다.
 자녀 입양 / 장애자녀 양육 지원
나눔이라는 그룹 가치 실현의 일환으로 자녀 입양을 아낌없이 지원하며, 신체적, 정신적 장애를 가진 자녀의 양육 부담을 덜어줌으로써 생활의 안정을 돕습니다.
 기념일 선물
배우자생일, 결혼기념일, 임신, 출산 등 기념일에 선물을 지급하여 함께 축하하고 기념할 수 있도록 지원합니다.
 출산 장려금
다자녀에 대한 혜택을 통해 출산을 장려하고 임직원의 복지 만족도 향상을 추구합니다.
 난임부부 지원
난임부부 인공수정 및 체외수정 시술 지원을 통해 난임으로 겪는 고통을 함께 나누고자 합니다.
 중대조사 지원 프로그램
복잡한 장례 절차 등 임직원의 어려움을 해소 시키기 위해 장례지도자, 장례도우미 파견, 차량 서비스 등을 지원합니다.
 노부모 부양 지원
노인성 질환을 가진 노부모의 건강 돌봄이 필요한 경우 부양비 및 의료비를 지원하여 직원 가정의 안정을 도모합니다.

 Extra Care
 복지포인트
다양한 복지 항목에 대해 자율적으로 선택하여 이용할 수 있으며 직원에게 실질적인 혜택이 더욱 많이 돌아갈 수 있도록 다양한 제휴서비스를 제공합니다.
 골프교육 지원
전사원의 골프실력 향상을 위하여 사내 티칭프로 일대일 교육을 지원하고 있습니다. 일정 수준 이상이 되면 임원과 함께 라운드를 즐길 수 있는 기회를 제공합니다.
 GSpoon / GCafe
최상의 재료로 양질의 식사를 제공하는 사내 식당 및 저렴한 금액으로 이용 가능한 사내 카페를 운영합니다.
 저금리 주택자금 대출
직원의 주택생활 안정화를 위해 사내근로복지기금을 통한 초저금리 대출을 지원합니다.
 자기계발 지원
자기 계발을 위해 필요한 교육을 수강할 수 있도록 적극 지원합니다. 사내/사외교육 뿐 아니라 어학 등 다양한 프로그램을 통해 개인의 역량 향상을 지원합니다.

 Golf Care
 Golf Day
가족 친화기업으로써 가족과 함께하는 필드 골프 활동을 지원합니다.
 Family Lesson
임직원 가족에게 골프 레슨 기회를 제공하여 누구나 골프를 배우고 즐길 수 있도록 지원합니다.
 Enjoy GOLFZON
가족 및 지인과 함께하는 스크린 골프 활동을 지원하여 친목 도모의 기회를 제공합니다."
274,(주)필라웨어,(주)필라웨어 VMware 가상화 엔지니어 / 영업 부문 경력직 채용,"㈜필라웨어는 숙련된 IT 개발 기술과 시스템 운영 노하우를 바탕으로, 다양한 비즈니스 영역에서 새로운 지식 창출을 실현하여
고객 기업의 가치 극대화와 경쟁력 강화를 위한 전반적인 IT 서비스를 지원하고 있습니다.

가상화 솔루션 벤더의 Premier Partner로서, 최고의 기술 파트너로 자리매김하고 있으며, 나아가 가상화 및 보안 솔루션 기반의 B2B 비즈니스 마켓을 선도하는 최고의 기술 리더를 목표로 하고 있습니다.

급변하는 IT 환경 속에서 ㈜필라웨어의 고객 여러분께 언제나 만족과 감동을 드리기 위해 끊임없이 매진하고 있습니다.

 엔지니어 (중급/고급)
 VMware 가상화 보안 솔루션 시스템 운영, 보안솔루션 시스템개발
 VMware VDI
 Linux
 하드웨어 네트워크 스토리지

영업부문
 IT 가상화(VMware) 기술 영업
 솔루션 및 하드웨어 영업

 인근거주자
 해당직무 근무경험
 지방근무 가능자
 VMware 관련 업무 경험자



지원금/보험
각종 경조사 지원, 업무활동비 지급, 선택적복리후생, 복지카드/포인트
급여제도
인센티브제, 장기근속자 포상, 퇴직금, 4대 보험
선물
명절선물/귀향비
교육
생활워크샵, 신입사원교육(OJT), 직무능력향상교육, 자격증취득지원, 교육비 지원,
자기계발비 지원, 저녁식사 제공, 간식 제공, 음료제공(차, 커피)
근무 환경
휴게실, 회의실, 공기청정기, 카페테리아, 건물 내 경사로, 노트북, 사원증, 사무용품 지급
조직문화
자유로운 연차사용
출퇴근차량(포지션별 상이)
유류비지급, 야간교통비지급
리프레시
연차, Refresh휴가, 근로자의 날 휴무"
275,(주)한결피아이에프,마케팅,"

 마케팅

 신입 : 업무에 대한 패기와 열정이 높으며 진취적인 자
 경력 : 국내외 기업에서 관련 분야 경력이 2년 이상인 자
 공통사항 : 병역필(면제자)로서 해외여행에 결격사유가 없는자

 해당분야 자격증 소지자 및 외국어 가능자 우대


1) 선물 지급
 근로자의 날 또는 창립기념일에 전직원에 선물 지급
 기혼자는 결혼기념일에, 미혼자는 생일에 상품권 지급
 설과 추석에 전직원 선물 지급
 어버이날에 기혼자는 양가 부모님께, 미혼자는 부모님께 선물 지급
2) 하계휴가비 지급 : 7월에 전직원 하계휴가비 50만원 지급
3) 자녀 학자금 지원
 초등학교 : 입학축하금 50만원 지급
 중고등학교 : 각각 교복지원비 80만원 한도 지급
 고등학교 : 연 200만원 한도 학자금 지원
 대학교 : 반기당 300만원 한도 학자금 지원
4) 의료지원
 직장검진 : 2년에 1회 실시. 검사시 전직원 혈액 검사 지원 및 위, 대장 내시경 지원
 40세이상 : 3년에 1회씩 배우자 포함 지정병원 종합검진 지원
5) 장기근속상 : 7년 및 10년 장기근속시 금 5돈 및 금 10돈 지급
6) 동호회 지원비 : 월1회 동호회원 1인당 2만원 활동비 지급


1) 유류지원비 : 개인차량을 업무에 사용시 주차 및 유류비를 지원하고 감가상각비의 성격으로 월 20만원 별도 지급
2) 야간 근로 및 휴일 근로 수당 : 법정 근로 시간 이외 근로시 추가 수당 지급
3) 저녁 및 휴일 식대 : 업무상 필요로 근로 시간 이외 근로시 식대 실비 정산
4) 연차 휴가 : 근로기준법에 의거 연차 휴가 부여
5) 상해보험 : 법정 4대 보험 이외에 전 직원 상해 보험에 가입
6) 경조사 지원 : 경조사 지원 규정에 의하여 지원
7) 교육 지원 : 교육, 강의, 세미나 등 회사에서 진행하거나, 필요에 따른 개인 신청시 지원
8) 퇴직금 : 전 직원 퇴직연금에 가입하여 매년 100% 불입
9) 경영성과급 : 이익 잉여금 발생시 회사의 경영상태를 감안하여 전 직원 경영성과급 공유"
276,데이터헌트(주),[잡플래닛 매칭] B2B영업(AI 라벨링)," 실리콘밸리 ""제2의 마크 저커버그"" 팀황의 공룡 AI 스타트업 ""피스컬노트"" 한국 상륙!!
 2014년 미국CNN 선정 ""세계를 바꿀 10대 스타트업""!
 2016년 포브스 선정 ""30세 이하 유망주 30인""!
 세계경제포럼(다보스포럼) ""기술 선구자"" 선정!
 야후 창업자 제리양, 마크큐번등 벤처투자자들 2800억 투자!
 http://biz.chosun.com/site/data/html_dir/2019/08/26/2019082600279.html?utm_source=naver&utm_medium=original&utm_campaign=biz

피스컬노트는 미국에서 정부 법안, 규제 등 각종 정책, 법률데이터 제공을 하는 공공정보제공 및 컨설팅 기업으로 데이터 기술과 인공지능을 활용해 법안 통과율을 94%까지 예측하는 역량을 가지고 마이크로소프트, 토요타 등 4000개 이상의 글로벌 고객을 유치하고 있습니다. 6년 전 스타트업으로 시작하였지만 현재는 5000억원 이상의 기업가치와 기업공개(IPO)를 위한 목표 매출액 달성을 안정적으로 이뤄나가고 있습니다.

피스컬노트는 뉴욕, 브뤼셀, 배턴루지 및 인도지사 등 전세계 500명 이상의 직원을 보유하고 있고, 워싱턴에 본사를 두고 있습니다. 지금까지 Mark Cuban, Jerry Yang, Steve Case, NEA, The Economist, S&P Global 등 글로벌 투자자들로부터 총 2.3억달러 이상의 투자를 받아 전세계로 사업을 확장하고 있습니다. 작년 8월 미국에서 가장 오래된 미국 정치 전문 언론사인 CQ/Rollcall을 이코노미스트지로부터 인수하여 첨단 기술기반 미디어 기업으로 도약하고 있습니다.

한국계 미국인 CEO 팀 황(Tim Hwang)은 포브스지 전세계 가장 영향력 있는 30세 미만 30인에 뽑힌 바 있으며 세계 경제 포럼 (World Economic Forum) 에서 과거 구글,페이스북,트위터 등이 수상한 바 있는 기술 선구자(Technology Pioneer)로 선정된 바 있습니다. 팀 황은 한국지사가 설립된 후 한국에 상주하며 여러분들과 함께 신사업을 이끌어 갈 계획입니다.
MIT 테크놀로지 리뷰에 실린 자사와 팀 황과 관련된 기사를 참조바랍니다.

http://techm.kr/bbs/board.php?bo_table=article&wr_id=5193 (한글 번역)
더 자세한 회사정보는 https://fiscalnote.com/ 를 참조바랍니다.

한국 진출 / 신사업 한국법인명: ""데이터헌트""

데이터헌트는 국내 최초로 크라우드소싱과 AI를 접목하여 HumanintheLoop방식을 채택하여 기존에 사람들이 수작업으로 진행하던 데이터 수집과 라벨링을 인공지능의 힘을 빌려 고도화시켰으며 서비스를 출시한 지난 해 2월 이후 이미 NHN, 위메프, KAIST, S&P등 국내외 기업과 기관들과 협업하여 데이터 약 127만건과 라벨 약 403만개를 구축한 바 있다.

근무지: 강남역

 B2B 영업
 신규 고객사 발굴 및 제안
 고객사 관리

 IT분야 B2B 영업 3년이상 경력자
 제안서 작성 및 PT 유경험자
 AI 라벨링 영업 경험자 우대



 스톡옵션
 탄력근무제
 본인이 스스로 정하는 근무시간
 가족같은 팀 문화
 랩탑 및 기타 개발 하드웨어/소프트웨어 제공"
277,(주)휴머스온,[잡플래닛 매칭] HR 팀장,"㈜ 휴머스온

 Site: http://www.humuson.com/kr

 서비스 소개:

빅데이터 기반 마케팅 플랫폼 TAS

https://youtu.be/MSUt67apxmM


 국내 인터넷이 처음 등장했던 시기인 1998년에 설립, 20년차 디지털 마케팅 솔루션 회사

 국내 본사 및 미국과 중국에 현지법인 운영 중

 email 마케팅솔루션으로 시작하여 현재 스마트폰 및 IT 기반 마케팅 솔루션과 서비스를 통합적으로 제공하며, 안정적으로 사업 개발/운영하고 있음

 인터넷마케팅 업력을 통해 축적된 데이터를 활용하여 최근 트렌드인 빅데이터 & A.I. 기술을 연구 및 제공하여 유수기업의 마케팅 비즈니스를 리드 중임

주요 클라이언트: 금융권, 유통사, 커머스 등이 주고객이며 소비자와의 소통이 필요한 모든기업이 타겟임

카카오 알림톡 공식딜러사

직원 60% 이상이 개발인력으로 지속적인 연구 투자 중


 업계경력 20년, 시장점유율 1위

 2018년 고용노동부 청년친화 강소기업 인증

 2017년 일하기 좋은 SW기업 워라밸 부문 최우수상 수상


 직원수: 약 100명, 위치: 강남구 선릉로(선릉역)



 사내분위기: 인재를 중시하며 교육 및 자기계발 지원, 휴가사용 원활, 안정된 분위기로 업무강도에 대한 스트레스나 야근강요 전혀없음

 카페테리아 있음, 아침식사/저녁식사/야간교통비/도서구입비/교육비/사내동호회/직원콘도 지원



 주요 연혁 및 실적

1998 ㈜에이메일 설립

2001 마케팅 솔루션 부분 시장점유율 1위, 웹어워드 웹서비스 부분 최우수상 수상

2001 중소기업 문화 경영대상 수상, 모바일 마케팅 솔루션 PMS 런칭

2014 휴머스온 차이나 설립

2017 일하기좋은 SW기업 일과 삶의 균형 부문 최우수상, 빅데이터 마케팅 클라우드 TAS 런칭





기업 추천사유

현 직원수 대략 100명중 개발인력만 60% 이상으로 기술개발, 투자를 중요시하며, 신사업 추진 등으로 지속적으로 신규 충원 중입니다.

오랜 업력으로 인해 이미 오래전부터 IT 사업인프라를 갖추었고, 업계의 노하우 및 방대한 데이터를 보유하였기 때문에

앞으로의 발전가능성 측면에서 매우 희망적이라고 보여집니다.



겉으로 보이는 기업 인지도나 규모증대 보다는, 내실을 중요시하고 직원들의 안녕을 더욱 신경쓰는 기업이며

기본수익이 안정적인 알짜배기 회사이므로 장기적으로 근무하기에 좋은 곳입니다.



무엇보다 장점은 사내분위기가 좋고, 제가 직접 만나보니 인성적으로 좋은 분들이 많이 근무하시고 계시다는 점입니다.

따라서 인재 채용 시 에도 이러한 조직문화에 잘 어울릴 수 있는 분을 최우선 조건으로 보기에 다소 까다롭지만 그만큼 인증된 분들로 구성되어 있습니다.



휴머스온 대표님께서는 안정적인 사업 운영 뿐 아니라 투자와 사업확장에 관심이 많으시고 도전의식과 열정을 갖춘 분입니다.

확실히 인재 중심의 경영마인드를 가지고 사업을 이끌어 가신다는 점이 20년 업력을 유지해오신 비결이 아닐까 생각합니다.

인사, 채용, 노무, 총무
인사 기획 및 운영 총괄
채용 기획 및 운영 총괄
조직 및 인력 진단 및 운영 실무 총괄
교육 기획 및 운영 진행
총무(행사, 구매)

경력 : 경력 7년 이상HR 경력 7년 이상, 과~차장급
4년제 대졸 이상
IT 관련 인력 채용 업무 수행 경험 보유
채용인력운용 및 노무 업무 등의 실무적 지식 보유
HR 전반에 대한 높은 이해를 바탕으로 새로운 가치를 창출 할 수 있는 분

IT 업계 경험 및 SW산업 전반에 대한 이해도가 있으신 분

 사내 카페테리아
 업무 중 휴식시간(낮잠 Free)
 아침 식사 제공
 자기계발 및 여가활동 장려(장기 근속자 휴가 및 포상, 동호회 활동 및 사내콘도 지원
 직급별 교육을 비롯해 도서구매, 세미나, 학원비 등 지원
 경조사 및 사내대출 지원
 음악회 및 문화행사
 명절 상여 지급
 2년에 1회 정기 건강진단, 요가/스트레칭 수업"
